17961_locus	17978_locus	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
I5593_00005	ACX60_00005	99.785	465	1	0	1	465	1	465	0.0	952
I5593_00010	ACX60_00010	100.000	382	0	0	1	382	1	382	0.0	777
I5593_00015	ACX60_00015	100.000	359	0	0	1	359	1	359	0.0	737
I5593_00020	ACX60_00020	99.878	822	1	0	1	822	1	822	0.0	1702
I5593_00025	ACX60_00025	99.231	130	1	0	1	130	1	130	3.49e-93	261
I5593_00030	ACX60_00030	100.000	185	0	0	1	185	1	185	6.88e-136	374
I5593_00035	ACX60_00035	99.533	643	3	0	1	643	1	643	0.0	1311
I5593_00040	ACX60_00040	99.701	334	1	0	1	334	1	334	0.0	691
I5593_00045	ACX60_00045	100.000	335	0	0	1	335	1	335	0.0	684
I5593_00050	ACX60_00050	100.000	334	0	0	1	334	1	334	0.0	685
I5593_00055	ACX60_00055	100.000	111	0	0	1	111	1	111	3.88e-79	224
I5593_00060	ACX60_00060	96.441	281	10	0	1	281	1	281	0.0	571
I5593_00065	ACX60_00065	99.733	375	1	0	1	375	1	375	0.0	775
I5593_00070	ACX60_00070	100.000	404	0	0	7	410	1	404	0.0	832
I5593_00100	ACX60_00100	98.995	199	2	0	1	199	1	199	3.39e-149	409
I5593_00105	ACX60_00105	99.565	230	1	0	1	230	1	230	1.33e-168	460
I5593_00110	ACX60_00110	100.000	492	0	0	1	492	1	492	0.0	978
I5593_00115	ACX60_00115	100.000	47	0	0	1	47	1	47	2.41e-29	94.4
I5593_00120	ACX60_00120	99.076	433	4	0	1	433	1	433	0.0	882
I5593_00125	ACX60_00125	98.438	320	5	0	1	320	1	320	0.0	651
I5593_00130	ACX60_00130	99.836	609	1	0	1	609	1	609	0.0	1253
I5593_00135	ACX60_00135	100.000	429	0	0	1	429	1	429	0.0	885
I5593_00140	ACX60_00140	99.574	235	1	0	1	235	9	243	4.55e-171	468
I5593_00145	ACX60_00145	99.662	296	1	0	1	296	1	296	0.0	602
I5593_00150	ACX60_00150	99.768	431	1	0	1	431	1	431	0.0	843
I5593_00155	ACX60_00155	100.000	894	0	0	1	894	1	894	0.0	1842
I5593_00160	ACX60_00160	97.585	207	5	0	1	207	1	207	5.79e-151	414
I5593_00165	ACX60_00165	99.454	366	2	0	1	366	1	366	0.0	741
I5593_00170	ACX60_00170	100.000	1041	0	0	1	1041	1	1041	0.0	2114
I5593_00175	ACX60_00175	100.000	125	0	0	1	125	1	125	1.04e-86	245
I5593_00180	ACX60_00180	100.000	370	0	0	1	370	1	370	0.0	756
I5593_00185	ACX60_00185	99.130	115	1	0	1	115	1	115	2.69e-77	220
I5593_00190	ACX60_00190	99.634	273	1	0	1	273	1	273	0.0	548
I5593_00195	ACX60_00195	100.000	217	0	0	1	217	1	217	6.25e-164	447
I5593_00200	ACX60_00200	99.747	396	1	0	1	396	1	396	0.0	764
I5593_00205	ACX60_00205	99.251	267	2	0	1	267	1	267	0.0	542
I5593_00210	ACX60_00210	99.667	300	1	0	1	300	1	300	0.0	615
I5593_00215	ACX60_00215	97.581	124	3	0	1	124	1	124	1.71e-90	254
I5593_00225	ACX60_00220	98.523	474	7	0	1	474	1	474	0.0	969
I5593_00230	ACX60_00225	98.830	342	4	0	1	342	1	342	0.0	696
I5593_00235	ACX60_00230	98.387	186	3	0	1	186	1	186	4.64e-141	387
I5593_00240	ACX60_00235	100.000	81	0	0	1	81	1	81	2.63e-57	167
I5593_00245	ACX60_00240	98.315	178	3	0	1	178	1	178	7.73e-129	355
I5593_00250	ACX60_00245	98.837	344	4	0	1	344	1	344	0.0	710
I5593_00255	ACX60_00250	100.000	120	0	0	1	120	1	120	2.40e-89	251
I5593_00260	ACX60_00255	99.592	245	1	0	1	245	1	245	0.0	504
I5593_00265	ACX60_00260	100.000	52	0	0	1	52	1	52	9.85e-29	93.2
I5593_00270	ACX60_00265	99.342	152	1	0	1	152	1	152	4.77e-113	313
I5593_00275	ACX60_00270	97.686	389	9	0	1	389	2	390	0.0	787
I5593_00280	ACX60_00275	99.762	421	1	0	1	421	1	421	0.0	863
I5593_00285	ACX60_00280	99.283	279	2	0	1	279	1	279	0.0	558
I5593_00290	ACX60_00285	100.000	67	0	0	1	67	1	67	1.35e-47	141
I5593_00295	ACX60_00290	100.000	239	0	0	1	239	1	239	1.60e-179	489
I5593_00300	ACX60_00295	100.000	200	0	0	1	200	2	201	2.17e-148	407
I5593_00305	ACX60_00300	100.000	297	0	0	1	297	1	297	0.0	602
I5593_00310	ACX60_00305	100.000	214	0	0	1	214	1	214	7.28e-164	447
I5593_00315	ACX60_00310	100.000	312	0	0	1	312	1	312	0.0	612
I5593_00325	ACX60_00320	100.000	156	0	0	1	156	1	156	1.46e-115	320
I5593_00330	ACX60_00325	100.000	351	0	0	1	351	1	351	0.0	719
I5593_00335	ACX60_00330	100.000	259	0	0	1	259	1	259	0.0	529
I5593_00340	ACX60_00335	99.451	182	1	0	1	182	1	182	9.35e-137	376
I5593_00345	ACX60_00340	99.524	210	1	0	1	210	1	210	3.30e-158	432
I5593_00350	ACX60_00345	96.552	435	15	0	1	435	1	435	0.0	881
I5593_00355	ACX60_00350	99.784	462	1	0	1	462	1	462	0.0	931
I5593_00360	ACX60_00355	99.119	227	2	0	1	227	1	227	1.50e-173	473
I5593_00365	ACX60_00360	98.289	409	7	0	13	421	1	409	0.0	826
I5593_00370	ACX60_00365	97.568	370	9	0	1	370	1	370	0.0	734
I5593_00375	ACX60_00370	99.200	250	2	0	1	250	1	250	0.0	516
I5593_00380	ACX60_00375	94.241	191	11	0	1	191	1	191	1.05e-134	372
I5593_00385	ACX60_00380	99.642	558	2	0	1	558	1	558	0.0	1155
I5593_00390	ACX60_00385	100.000	512	0	0	1	512	1	512	0.0	1034
I5593_00395	ACX60_00390	100.000	470	0	0	1	470	1	470	0.0	936
I5593_00400	ACX60_00395	98.753	401	5	0	1	401	1	401	0.0	821
I5593_00405	ACX60_00400	95.425	306	14	0	1	306	1	306	0.0	607
I5593_00410	ACX60_00405	96.382	608	22	0	1	608	1	608	0.0	1219
I5593_00415	ACX60_00410	86.321	212	29	0	1	212	1	212	1.18e-140	388
I5593_00420	ACX60_00415	93.985	266	16	0	1	266	1	266	0.0	515
I5593_00425	ACX60_00440	98.203	612	11	0	1	612	1	612	0.0	1232
I5593_00430	ACX60_00445	99.339	454	3	0	1	454	1	454	0.0	922
I5593_00435	ACX60_00450	98.246	171	3	0	1	171	1	171	3.45e-122	338
I5593_00440	ACX60_00455	99.016	305	3	0	1	305	1	305	0.0	621
I5593_00445	ACX60_00460	100.000	149	0	0	1	149	1	149	4.14e-109	303
I5593_00450	ACX60_00465	100.000	156	0	0	1	156	1	156	3.91e-112	311
I5593_00455	ACX60_00470	100.000	373	0	0	1	373	1	373	0.0	766
I5593_00460	ACX60_00475	99.301	429	3	0	7	435	1	429	0.0	875
I5593_00465	ACX60_00480	100.000	407	0	0	1	407	1	407	0.0	820
I5593_00470	ACX60_00485	100.000	111	0	0	1	111	1	111	1.66e-80	228
I5593_00475	ACX60_00490	100.000	159	0	0	1	159	1	159	7.89e-115	318
I5593_00480	ACX60_00495	96.599	147	5	0	1	147	1	147	1.26e-104	292
I5593_00485	ACX60_00510	100.000	404	0	0	1	404	1	404	0.0	837
I5593_00490	ACX60_00515	100.000	282	0	0	1	282	1	282	0.0	576
I5593_00495	ACX60_00520	99.293	283	2	0	1	283	1	283	0.0	578
I5593_00510	ACX60_00525	95.000	380	19	0	1	380	19	398	0.0	753
I5593_00515	ACX60_00530	100.000	452	0	0	1	452	1	452	0.0	937
I5593_00520	ACX60_00535	100.000	236	0	0	1	236	1	236	1.93e-177	483
I5593_00525	ACX60_00540	100.000	223	0	0	1	223	1	223	9.44e-168	457
I5593_00530	ACX60_00545	100.000	277	0	0	1	277	1	277	0.0	573
I5593_00535	ACX60_00550	99.560	455	2	0	1	455	1	455	0.0	890
I5593_00540	ACX60_00555	98.958	384	4	0	1	384	1	384	0.0	790
I5593_00545	ACX60_00560	100.000	436	0	0	1	436	1	436	0.0	891
I5593_00550	ACX60_00565	100.000	187	0	0	1	187	1	187	6.69e-139	382
I5593_00555	ACX60_00570	99.441	179	1	0	1	179	1	179	8.36e-133	366
I5593_00560	ACX60_00575	100.000	525	0	0	1	525	1	525	0.0	1090
I5593_00565	ACX60_00580	99.415	171	1	0	1	171	1	171	6.87e-124	342
I5593_00570	ACX60_17665	68.286	700	219	1	1	697	1	700	0.0	1017
